Profile_id,Layer,Horizon code,Start (cm),End (cm),Organic Matter (%),Clay (<2 mu) (%),Silt (2-50 mu) (%),Loam (=silt+clay) (%),Sand (>50mu) (%),Median of sand fraction (mu),pH-KCl,CEC (mmol/kg),Ca-exch (mmol/kg),K-exch (mmol/kg),kationen Na-uit (mmol/kg),kationen Mg-uit (mmol/kg),Total P (mg P2O5/kg),Carbon (%),Total N(%),Bulk density (g per cm3),Laboratory code,Org. matter method,pH method,CEC method,Ca Mg method,Na K method,Total P method,Carbon Method,Total N method,Texture method (m = measurement; s = hand estimate),Soil Classification code,Soil map legend code,X,Y,Year
1106,3,1Aa2,32,52,2.2,5,29,33,67,140,4.6,-99,-99,-99,-99,-99,1,-99,-99,-99,BL,134-2,2,,,,23,,,m,4s423,zEZ,110600,400350,1976
1106,4,1Ahb,52,65,2.2,4,32,36,64,140,4.5,-99,-99,-99,-99,-99,1,-99,-99,-99,BL,134-2,2,,,,23,,,m,4s423,zEZ,110600,400350,1976
1106,5,1Bhe,65,80,2.1,4,32,36,64,135,4.9,-99,-99,-99,-99,-99,1,-99,-99,-99,BL,134-2,2,,,,23,,,m,4s423,zEZ,110600,400350,1976
1106,6,1Cg,80,120,0.3,4,8,11,89,170,5.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,4s423,zEZ,110600,400350,1976
1114,1,1Ap,0,30,3.4,41,50,90,10,-99,7.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p325a,Mn,101470,409950,1976
1114,2,1Cwg1,30,50,2,42,50,92,8,-99,7.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p325a,Mn,101470,409950,1976
1114,3,1Cwg2,60,80,3.8,48,48,96,4,-99,7.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p325a,Mn,101470,409950,1976
1118,1,1Ap,0,30,3.6,27,51,79,21,75,6.8,-99,-99,-99,-99,-99,-99,2.1,0.2,-99,BL,134-2,2,,,,,136,39,m,M5p315av9,Mn,103200,405450,1973
1118,2,1Cwg1,40,50,1.4,27,52,78,22,70,7.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p315av9,Mn,103200,405450,1973
1118,3,1Cwg2,50,75,1,18,52,71,30,70,7.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p315av9,Mn,103200,405450,1973
1118,4,1Cg,75,90,1.4,21,54,75,25,70,7.3,-99,-99,-99,-99,-99,-99,0.8,0.1,-99,BL,134-2,2,,,,,136,39,m,M5p315av9,Mn,103200,405450,1973
1126,1,1Ap,0,18,6.5,16,20,36,65,-99,5.8,-99,185,1,3,9,-99,-99,0.3,-99,BL,134-2,2,,130B,130A,,,39,m,k4d421,Wg,99900,401170,1965
1126,2,1ACg,18,28,8.8,20,19,39,62,-99,6.6,-99,298,1,6,13,-99,-99,0.5,-99,BL,134-2,2,,130B,130A,,,39,m,k4d421,Wg,99900,401170,1965
1126,3,2Cw1,28,40,57.8,-99,-99,-99,-99,-99,6.2,-99,-99,-99,-99,-99,-99,-99,1.9,-99,BL,134-2,2,,,,,,39,s,k4d421,Wg,99900,401170,1965
1126,4,2Cw2,40,55,27.6,-99,-99,-99,-99,-99,6.2,-99,-99,-99,-99,-99,-99,-99,0.8,-99,BL,134-2,2,,,,,,39,s,k4d421,Wg,99900,401170,1965
1126,5,3Ahgb,55,75,2.6,6,18,24,78,175,5.8,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,k4d421,Wg,99900,401170,1965
1126,7,3Cr,80,120,0,5,5,9,91,175,6.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,k4d421,Wg,99900,401170,1965
1128,1,1Ap,0,25,3.5,22,55,77,23,85,7.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p235a,Mn,100100,417150,1963
1128,2,1Cwg1,32,37,1.6,19,61,80,19,80,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p235a,Mn,100100,417150,1963
1128,3,1Cwg2,42,47,1.6,30,58,88,12,80,7.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p235a,Mn,100100,417150,1963
1128,4,1Cwg3,53,63,0.7,23,55,78,23,80,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p235a,Mn,100100,417150,1963
1128,5,2Cg,75,80,0.4,5,41,46,54,80,8.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p235a,Mn,100100,417150,1963
1129,1,1Ap,7,12,2.4,21,55,76,24,80,7.5,-99,-99,-99,-99,-99,1710,-99,-99,1.234,BL,135,2,,,,23,,,m,M5p235a,Mn,103953,420750,1963
1129,2,1Cwg1,40,45,0.9,19,35,54,46,80,7.6,-99,-99,-99,-99,-99,880,-99,-99,1.323,BL,135,2,,,,23,,,m,M5p235a,Mn,103953,420750,1963
1129,3,1Cwg2,50,55,0.4,7,20,27,74,80,8.2,-99,-99,-99,-99,-99,-99,-99,-99,1.484,BL,135,2,,,,,,,m,M5p235a,Mn,103953,420750,1963
1132,1,1Ahg1,0,10,14.1,36,46,82,18,100,7.2,-99,-99,-99,-99,-99,-99,-99,-99,0.835,BL,134-2,2,,,,,,,m,eM5n325a,Mo,116110,419250,1977
1132,2,1Ahg2,10,20,4.8,14,23,37,63,105,7.5,-99,-99,-99,-99,-99,-99,-99,-99,1.14,BL,134-2,2,,,,,,,m,eM5n325a,Mo,116110,419250,1977
1132,3,1Cwg,30,35,3.1,14,20,34,66,95,7.5,-99,-99,-99,-99,-99,-99,-99,-99,1.104,BL,134-2,2,,,,,,,m,eM5n325a,Mo,116110,419250,1977
1137,1,1Ahg,3,8,9,31,60,91,9,-99,4.5,-99,-99,-99,-99,-99,2,-99,-99,-99,BL,135,2,,,,23,,,m,gM5p314cv11,gMn,95340,423130,1965
1137,2,1Cwg1,12,25,3.4,33,58,91,9,-99,3.8,-99,682,24,13,281,2,-99,-99,-99,BL,135,2,,130B,130A,23,,,m,gM5p314cv11,gMn,95340,423130,1965
1137,3,1Cwg2,35,45,1.5,38,55,93,7,-99,4,-99,644,27,7,322,1,-99,-99,-99,BL,135,2,,130B,130A,23,,,m,gM5p314cv11,gMn,95340,423130,1965
1137,4,1Cg,50,60,1.3,37,52,89,11,65,4.4,-99,635,24,8,333,8,-99,-99,-99,BL,135,2,,130B,130A,23,,,m,gM5p314cv11,gMn,95340,423130,1965
1137,5,1Cgr1,65,80,1.5,40,50,90,10,65,4.8,-99,679,18,8,295,1,-99,-99,-99,BL,134-2,2,,130B,130A,23,,,m,gM5p314cv11,gMn,95340,423130,1965
1137,6,1Cgr2,90,100,1.5,31,53,84,16,70,5.3,-99,728,13,6,253,1,-99,-99,-99,BL,135,2,,130B,130A,23,,,m,gM5p314cv11,gMn,95340,423130,1965
1140,1,1Ap1,0,20,1.8,21,46,67,33,75,7.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,90010,422450,1987
1140,2,1Ap2,23,34,1.7,21,48,69,31,80,7.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,90010,422450,1987
1140,3,1Cwg1,34,45,0.7,15,42,57,43,80,7.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,90010,422450,1987
1140,4,1Cwg2,45,65,0.4,10,30,39,61,85,7.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,90010,422450,1987
1140,5,1Cg,65,100,0.5,12,35,46,54,80,7.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,90010,422450,1987
1140,6,1Cgr,100,110,0.7,11,37,48,52,80,7.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,90010,422450,1987
1144,1,1Ap,0,30,2.1,21,37,58,42,75,7.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p235a,Mn,89960,410755,1960
1144,2,1Cwg1,30,50,1.3,26,49,75,25,75,7.7,-99,204,2,1,11,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p235a,Mn,89960,410755,1960
1144,3,1Cwg2,50,70,0.8,17,41,58,42,75,7.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p235a,Mn,89960,410755,1960
1144,4,1Cg1,70,100,0.8,16,43,59,42,80,7.9,-99,110,2,3,11,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p235a,Mn,89960,410755,1960
1155,1,1Ap,0,25,1.9,17,33,50,51,85,6.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p225a,Mn,86490,421880,1961
1155,3,1Cwg2,40,60,0.7,16,30,46,55,85,7.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p225a,Mn,86490,421880,1961
1155,4,1Cr,65,90,0.3,6,10,16,85,90,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p225a,Mn,86490,421880,1961
1159,1,1Ap,0,20,2,20,55,75,25,80,7.7,-99,-99,-99,-99,-99,1570,-99,-99,-99,BL,135,2,,,,23,,,m,M5p235a,Mn,91600,419060,1964
1159,2,1Cwg1,30,35,1,15,67,82,19,80,7.9,-99,-99,-99,-99,-99,1240,-99,-99,1.41,BL,135,2,,,,23,,,m,M5p235a,Mn,91600,419060,1964
1159,3,1Cwg2,65,70,0.5,11,37,48,53,80,8.1,-99,-99,-99,-99,-99,840,-99,-99,1.51,BL,135,2,,,,23,,,m,M5p235a,Mn,91600,419060,1964
1162,1,1Ap,0,28,2.5,14,33,47,53,75,7.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p225a,Mn,74280,424690,1968
1162,2,1Cwg,28,45,1,11,28,39,61,75,7.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p225a,Mn,74280,424690,1968
1162,3,1Cg1,45,65,0.8,8,20,27,73,75,7.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p225a,Mn,74280,424690,1968
1162,4,1Cg2,65,120,0.7,6,13,19,81,75,7.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p225a,Mn,74280,424690,1968
1165,1,1Ap,0,28,2.3,26,47,73,26,75,7.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p315a,Mn,70855,404060,1960
1165,2,1Cwg1,28,50,1.7,22,44,66,33,70,7.6,-99,144,4,3,20,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p315a,Mn,70855,404060,1960
1165,3,1Cwg2,50,70,2,23,41,64,37,80,7.7,-99,147,5,7,25,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p315a,Mn,70855,404060,1960
1165,4,1Cg,70,100,0.8,9,18,27,73,95,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p315a,Mn,70855,404060,1960
1166,1,1Ap,0,26,2.4,26,43,69,32,90,7.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p315a,Mn,77545,402665,1960
1166,2,1Cwg1,26,45,1.4,30,46,76,24,75,7.4,-99,198,4,2,13,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p315a,Mn,77545,402665,1960
1166,3,1Cwg2,45,80,0.8,15,43,58,42,80,7.7,-99,119,2,1,8,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p315a,Mn,77545,402665,1960
1166,4,1Cg,80,120,0.6,9,27,36,64,90,7.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p315a,Mn,77545,402665,1960
1174,1,1Ap,0,13,3.5,13,22,35,66,-99,5.4,84,67,2,2,11,1,-99,0.2,-99,BL,134-2,2,128B,130B,130A,23,,39,m,R5x225b,Rd,195900,435000,1968
1174,2,1Cw,13,70,0.7,14,22,36,67,-99,7,65,71,2,3,11,0,-99,-99,-99,BL,135,2,128B,130B,130A,23,,,m,R5x225b,Rd,195900,435000,1968
1174,3,1Cwg,70,88,0.6,11,25,36,64,200,7.7,58,71,1,3,7,0,-99,-99,-99,BL,135,2,128B,130B,130A,23,,,m,R5x225b,Rd,195900,435000,1968
1174,4,1Cg,88,110,0.9,22,43,65,36,185,7.7,115,115,1,5,15,0,-99,-99,-99,BL,135,2,128B,130B,130A,23,,,m,R5x225b,Rd,195900,435000,1968
1177,1,1Ap,0,27,5.3,47,41,88,12,-99,5.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p324c,Rn,188025,440140,1962
1177,2,1Cg1,27,50,2.1,55,43,98,1,-99,5.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p324c,Rn,188025,440140,1962
1177,3,1Cg2,50,75,1.6,52,47,99,2,-99,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p324c,Rn,188025,440140,1962
1177,4,1Cg3,75,90,6.8,58,42,99,1,-99,6.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p324c,Rn,188025,440140,1962
1182,1,1Ap,0,25,3,5,27,32,69,220,4.5,-99,-99,-99,-99,-99,2,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,g2i514,Y,188080,445850,1968
1182,2,1Bws,25,40,1,5,29,34,68,210,4.6,-99,-99,-99,-99,-99,1,-99,0,-99,BL,134-2,2,,,,23,,39,m,g2i514,Y,188080,445850,1968
1182,3,1BCs,40,60,0.4,5,25,30,73,195,4.7,-99,-99,-99,-99,-99,1,-99,-99,-99,BL,134-2,2,,,,23,,,m,g2i514,Y,188080,445850,1968
1182,4,1Cy,60,90,0.3,2,3,5,96,195,4.6,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,g2i514,Y,188080,445850,1968
1185,1,1Ap,0,18,4.3,29,51,80,21,75,7.3,233,199,3,3,21,-99,-99,0.3,-99,BL,135,2,128B,130B,130A,,,39,m,R5x315a,Rd,189880,441450,1969
1185,3,1Bw1,30,45,1.2,26,59,85,15,70,7.5,150,132,2,4,15,-99,-99,-99,-99,BL,135,2,128B,130B,130A,,,,m,R5x315a,Rd,189880,441450,1969
1185,4,1Bw2,50,65,1,27,57,84,18,75,7.5,142,121,2,4,15,-99,-99,-99,-99,BL,135,2,128B,130B,130A,,,,m,R5x315a,Rd,189880,441450,1969
1185,5,1Cg1,70,85,0.7,18,44,62,40,85,7.6,91,87,1,4,13,-99,-99,-99,-99,BL,135,2,128B,130B,130A,,,,m,R5x315a,Rd,189880,441450,1969
1185,6,1Cg2,100,115,0.8,21,41,62,39,90,7.6,112,87,1,4,10,-99,-99,-99,-99,BL,135,2,128B,130B,130A,,,,m,R5x315a,Rd,189880,441450,1969
1197,1,1Ah,0,20,3.1,22,38,60,36,135,7.4,-99,-99,-99,-99,-99,1600,-99,0.2,-99,BL,134-2,2,,,,23,,39,m,R5x235a,Rd,170800,433000,1989
1197,2,1ACw,20,25,3.1,22,38,60,36,135,7.4,-99,-99,-99,-99,-99,1600,-99,0.2,-99,BL,134-2,2,,,,23,,39,m,R5x235a,Rd,170800,433000,1989
1229,1,1Apg,0,20,5.3,53,49,99,0,-99,4.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p334c,Rn,161720,428910,1960
1229,2,1Cwgc,25,50,1.6,70,31,99,0,-99,5.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p334c,Rn,161720,428910,1960
1229,4,1Cwg2,65,85,2,75,25,99,0,-99,5.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p334c,Rn,161720,428910,1960
1244,1,1Ap,0,30,3.1,22,50,72,28,70,7.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,75140,427900,1968
1244,2,1Cg1,30,45,2.1,24,59,83,17,65,7.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,75140,427900,1968
1244,3,1Cg2,45,60,2,23,58,81,19,65,7.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,75140,427900,1968
1244,4,1Cg3,60,75,1.8,20,47,67,33,70,7.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,75140,427900,1968
1244,5,1Cg4,75,110,1.8,18,41,59,41,70,7.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,75140,427900,1968
1244,6,1Cgr,110,155,1.2,13,33,47,53,70,7.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,75140,427900,1968
1254,1,1Apg,5,20,9.8,8,17,25,75,100,6.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M4p215a,pMn,65820,431350,1980
1254,3,1Cg1,40,45,0.7,8,14,21,79,110,7.9,-99,-99,-99,-99,-99,-99,-99,-99,1.44,BL,134-2,2,,,,,,,m,M4p215a,pMn,65820,431350,1980
1254,4,1Cg2,65,70,0.5,9,8,17,83,150,8,-99,-99,-99,-99,-99,-99,-99,-99,1.53,BL,134-2,2,,,,,,,m,M4p215a,pMn,65820,431350,1980
1254,5,2Cg,80,100,0.8,4,3,7,93,125,8.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M4p215a,pMn,65820,431350,1980
1265,1,1Apg,0,25,4.1,40,53,93,7,-99,7.1,-99,-99,-99,-99,-99,1480,-99,-99,-99,BL,135,2,,,,23,,,m,M5p323b,Mn,76010,444750,1961
1265,2,1Cg1,30,50,1.3,43,54,97,4,-99,7.4,-99,251,4,5,35,1100,-99,-99,-99,BL,135,2,,130B,130A,23,,,m,M5p323b,Mn,76010,444750,1961
1265,4,1Cg3,65,75,2.8,53,45,98,3,-99,7.3,-99,294,6,6,45,660,-99,-99,-99,BL,135,2,,130B,130A,23,,,m,M5p323b,Mn,76010,444750,1961
1265,5,2Ahb,75,90,2.3,55,42,97,3,-99,7.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p323b,Mn,76010,444750,1961
1265,6,3Cgri,100,120,2.4,26,39,65,35,90,7.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p323b,Mn,76010,444750,1961
1268,1,1Aap,0,30,2.6,6,15,21,79,205,7,-99,-99,-99,-99,-99,-99,-99,-99,1.3,BL,134-2,2,,,,,,,m,4s4312a,zEZ,70350,447150,1980
1268,2,1Aa,35,65,0.8,7,13,20,80,210,7.6,-99,-99,-99,-99,-99,-99,-99,-99,1.56,BL,134-2,2,,,,,,,m,4s4312a,zEZ,70350,447150,1980
1268,4,1Cu,110,125,0.3,3,6,10,91,205,8.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,4s4312a,zEZ,70350,447150,1980
1269,1,1Ap,0,30,2.8,37,51,88,12,95,7,273,264,7,2,33,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,M5p323c,Mn,76080,441370,1980
1269,2,1Cg1,38,43,0.6,41,49,90,11,90,5.8,264,202,7,4,49,-99,-99,-99,1.38,BL,134-2,2,128B,130B,130A,,,,m,M5p323c,Mn,76080,441370,1980
1269,3,1Cg2,60,65,0.1,46,51,97,3,-99,5.8,280,217,7,3,58,-99,-99,-99,1.33,BL,134-2,2,128B,130B,130A,,,,m,M5p323c,Mn,76080,441370,1980
1269,4,1Cg3,80,85,0.5,45,51,96,4,-99,6.3,280,232,7,4,49,-99,-99,-99,1.22,BL,134-2,2,128B,130B,130A,,,,m,M5p323c,Mn,76080,441370,1980
1269,5,1Cg4,100,120,1.7,41,55,96,4,-99,7.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p323c,Mn,76080,441370,1980
1270,1,1Apg,5,15,26.5,35,51,86,14,180,5.8,580,451,21,7,75,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,v4c32,Wo,79350,447950,1980
1270,2,2Cg1,25,30,3.5,47,51,97,3,-99,6.2,283,242,14,6,35,-99,-99,-99,1,BL,134-2,2,128B,130B,130A,,,,m,v4c32,Wo,79350,447950,1980
1270,3,2Cg2,40,45,2,46,49,95,5,-99,7.2,-99,-99,-99,-99,-99,-99,-99,-99,0.8,BL,134-2,2,,,,,,,m,v4c32,Wo,79350,447950,1980
1270,4,2Cgri,75,80,3.3,33,49,82,19,75,7.4,-99,-99,-99,-99,-99,-99,-99,-99,0.8,BL,134-2,2,,,,,,,m,v4c32,Wo,79350,447950,1980
1280,1,1Ap,5,28,4.2,3,5,7,93,180,5.2,-99,-99,-99,-99,-99,1,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,2r431,Hn,262500,468780,1972
1280,2,1Eu/Bhe,28,35,0.5,2,4,6,95,185,5.6,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,2r431,Hn,262500,468780,1972
1280,3,1Bhe,35,75,0.9,2,4,6,95,170,5.4,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,2r431,Hn,262500,468780,1972
1280,4,1Cu,75,90,0.1,2,8,10,90,145,5.8,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,2r431,Hn,262500,468780,1972
1280,5,1Cr,90,130,0.1,2,12,14,86,125,5.6,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,2r431,Hn,262500,468780,1972
1306,1,1Ap,0,20,4.4,4,12,16,86,325,5.2,-99,-99,-99,-99,-99,2050,-99,0.1,-99,BL,135,2,,,,23,,39,m,2r522,Hn,242250,455385,1962
1306,2,1Eu,20,50,0.3,4,12,16,86,445,5,-99,-99,-99,-99,-99,170,-99,-99,-99,BL,135,2,,,,23,,,m,2r522,Hn,242250,455385,1962
1306,3,1Bhe,50,95,3.1,5,8,13,87,470,4.2,-99,-99,-99,-99,-99,490,-99,0.1,-99,BL,135,2,,,,23,,39,m,2r522,Hn,242250,455385,1962
1306,4,1BCe,95,110,0.6,0,2,2,98,490,4.3,-99,-99,-99,-99,-99,70,-99,-99,-99,BL,135,2,,,,23,,,m,2r522,Hn,242250,455385,1962
1306,5,2Cg,110,130,0.4,16,17,33,66,525,4.1,-99,-99,-99,-99,-99,260,-99,-99,-99,BL,135,2,,,,23,,,m,2r522,Hn,242250,455385,1962
1332,1,1Ap,5,24,3.4,2,10,12,89,160,5,-99,-99,-99,-99,-99,2,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,4k432g5x9,pZg,258160,466655,1969
1332,2,1Cg,32,54,0.2,3,5,8,92,145,5.1,-99,-99,-99,-99,-99,0,-99,0,-99,BL,134-2,2,,,,23,,39,m,4k432g5x9,pZg,258160,466655,1969
1332,3,2Cg1,54,66,0.1,2,3,4,97,300,5.1,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,4k432g5x9,pZg,258160,466655,1969
1332,4,2Cg2,66,80,0.1,1,2,3,97,190,5.3,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,4k432g5x9,pZg,258160,466655,1969
1332,5,3Cg1,80,95,0,6,2,8,92,175,5.8,-99,-99,-99,-99,-99,1,-99,-99,-99,BL,134-2,2,,,,23,,,m,4k432g5x9,pZg,258160,466655,1969
1332,6,4Cg1,95,125,0,22,23,45,55,125,5.7,-99,128,4,3,13,1,-99,-99,-99,BL,134-2,2,,130B,130A,23,,,m,4k432g5x9,pZg,258160,466655,1969
1332,7,4Cg2,125,140,0,23,29,52,48,125,7.2,-99,148,5,4,10,1,-99,-99,-99,BL,134-2,2,,130B,130A,23,,,m,4k432g5x9,pZg,258160,466655,1969
1332,8,4Cr1,140,170,0,20,34,54,45,125,7.4,-99,136,5,5,10,1,-99,-99,-99,BL,134-2,2,,130B,130A,23,,,m,4k432g5x9,pZg,258160,466655,1969
1333,1,1Apg,5,16,4.8,7,9,16,85,185,5.1,-99,41,1,2,2,1,-99,0.2,-99,BL,134-2,2,,130B,130A,23,,39,m,fk4k423,pZg,254835,474760,1969
1333,2,1Cg,16,31,2.9,12,12,24,77,150,5.3,-99,71,1,1,4,2,-99,-99,-99,BL,134-2,2,,130B,130A,23,,,m,fk4k423,pZg,254835,474760,1969
1333,3,2Cg1,31,40,0,7,13,20,82,125,4.7,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,fk4k423,pZg,254835,474760,1969
1333,4,2Cg2,40,70,0,6,8,14,86,135,4.8,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,fk4k423,pZg,254835,474760,1969
1333,5,2Cgr,70,100,0,5,12,17,84,145,4.9,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,fk4k423,pZg,254835,474760,1969
1333,6,2Cr,100,140,0.2,4,8,12,89,145,7.7,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,fk4k423,pZg,254835,474760,1969
1360,1,1Ap1,0,8,7.8,24,43,67,34,185,6.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,R5p323c,Rn,173230,442160,1964
1360,2,1Ap,8,20,3.4,28,40,68,34,185,5.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p323c,Rn,173230,442160,1964
1360,3,1Cg1,20,55,2,39,48,87,14,165,6.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p323c,Rn,173230,442160,1964
1360,4,1Cg2,55,75,1.7,41,46,87,14,160,6.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p323c,Rn,173230,442160,1964
1360,5,1Cg3,75,100,0.6,14,34,48,54,165,6.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p323c,Rn,173230,442160,1964
1360,6,1Cg4,100,135,0.6,28,50,78,25,170,6.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p323c,Rn,173230,442160,1964
1360,7,1Cgc,135,155,1,50,48,98,2,-99,6.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p323c,Rn,173230,442160,1964
1360,8,1Cr,200,215,2.3,59,39,98,2,-99,4.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5p323c,Rn,173230,442160,1964
