Profile_id,Layer,Horizon code,Start (cm),End (cm),Organic Matter (%),Clay (<2 mu) (%),Silt (2-50 mu) (%),Loam (=silt+clay) (%),Sand (>50mu) (%),Median of sand fraction (mu),pH-KCl,CEC (mmol/kg),Ca-exch (mmol/kg),K-exch (mmol/kg),kationen Na-uit (mmol/kg),kationen Mg-uit (mmol/kg),Total P (mg P2O5/kg),Carbon (%),Total N(%),Bulk density (g per cm3),Laboratory code,Org. matter method,pH method,CEC method,Ca Mg method,Na K method,Total P method,Carbon Method,Total N method,Texture method (m = measurement; s = hand estimate),Soil Classification code,Soil map legend code,X,Y,Year
72,5,1Cu4,150,180,0.3,18,78,96,4,-99,5.3,74,53,1,0,3,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5x82d,Rd,184960,323720,1986
72,6,2Btgb,190,230,0.2,18,77,95,5,-99,5.3,89,66,2,0,3,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5x82d,Rd,184960,323720,1986
75,1,1Ap,0,20,3.6,28,34,62,38,100,6.6,221,-99,-99,-99,-99,-99,2.3,0.2,-99,BL,134-2,2,128B,,,,136,39,m,mK5x314c,KRd,189870,318540,1986
75,2,1Cu1,20,55,0,47,19,66,34,100,6.1,316,281,7,2,12,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK5x314c,KRd,189870,318540,1986
75,3,1Cu2,55,90,0,53,22,75,25,95,6.3,324,313,7,2,8,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK5x314c,KRd,189870,318540,1986
75,4,1Cu3,140,170,0,61,26,87,13,90,6.2,347,335,10,1,13,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK5x314c,KRd,189870,318540,1986
75,5,1Cu4,170,200,0,72,20,91,9,-99,6.2,375,341,11,2,16,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK5x314c,KRd,189870,318540,1986
84,1,1Ap,0,30,2.1,14,75,89,11,115,5.5,-99,-99,-99,-99,-99,-99,-99,-99,1.4,BL,134-2,2,,,,,,,m,3i82,BLd,179540,318630,1985
84,2,1Eu,30,60,0.5,17,74,91,9,-99,5.9,88,74,2,0,6,-99,-99,-99,1.5,BL,134-2,2,128B,130B,130A,,,,m,3i82,BLd,179540,318630,1985
84,3,1Bt1,60,80,0.1,22,71,93,7,-99,5.9,113,96,2,1,6,-99,-99,-99,1.5,BL,134-2,2,128B,130B,130A,,,,m,3i82,BLd,179540,318630,1985
84,4,1Bt2,80,100,0.1,20,73,93,7,-99,5.6,103,84,2,1,6,-99,-99,-99,1.6,BL,134-2,2,128B,130B,130A,,,,m,3i82,BLd,179540,318630,1985
84,5,1Bt3,100,120,0.1,19,72,91,9,-99,5.5,100,83,2,0,6,-99,-99,-99,1.5,BL,134-2,2,128B,130B,130A,,,,m,3i82,BLd,179540,318630,1985
88,1,1Ap,5,25,2.5,13,78,92,9,-99,5.1,-99,-99,-99,-99,-99,-99,-99,0.2,1.623,BL,134-2,2,,,,,,39,m,3d82,BLb,182525,327050,1970
88,2,1Bt1,35,50,0.2,13,75,88,7,-99,5.3,-99,-99,-99,-99,-99,-99,-99,0.1,1.48,BL,134-2,2,,,,,,39,m,3d82,BLb,182525,327050,1970
88,3,1Bt2,70,80,0.1,14,76,90,10,80,5.6,-99,-99,-99,-99,-99,-99,-99,0,1.53,BL,134-2,2,,,,,,39,m,3d82,BLb,182525,327050,1970
88,4,1Cu,90,120,0,13,76,89,11,80,5.5,-99,-99,-99,-99,-99,-99,-99,0,1.515,BL,134-2,2,,,,,,39,m,3d82,BLb,182525,327050,1970
98,1,1Ap,0,20,2.4,9,76,85,15,150,5.5,-99,-99,-99,-99,-99,1,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,5x81d,Rd,193950,328775,1969
98,2,1Cu1,25,40,1.1,12,72,84,16,115,4.8,-99,-99,-99,-99,-99,1,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,5x81d,Rd,193950,328775,1969
98,3,1Cu2,45,60,0.2,14,70,85,16,100,4.5,-99,-99,-99,-99,-99,1,-99,0,-99,BL,134-2,2,,,,23,,39,m,5x81d,Rd,193950,328775,1969
104,1,1Ah,0,10,3,9,24,33,46,175,4.2,-99,-99,-99,-99,-99,1650,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,2i433,Y,188800,343500,1989
104,2,1Eu,10,15,3,9,24,33,46,175,4.2,-99,-99,-99,-99,-99,1650,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,2i433,Y,188800,343500,1989
104,3,1Bw,15,25,3,9,24,33,46,175,4.2,-99,-99,-99,-99,-99,1650,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,2i433,Y,188800,343500,1989
112,1,1Ap,0,20,2.9,5,41,45,56,180,5.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,3g434,BZd,193610,343380,1963
112,2,1Eu,25,35,0.8,5,32,37,64,165,4.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,3g434,BZd,193610,343380,1963
112,4,1Btg,65,80,0.7,9,41,50,51,155,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,3g434,BZd,193610,343380,1963
141,1,1A/Ep,3,18,4.8,3,17,20,80,140,3.4,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,2r423,Hn,201010,372070,1964
141,2,1Bhe,23,29,6.4,4,16,20,81,140,4,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,2r423,Hn,201010,372070,1964
141,4,1Cg,43,58,0.3,5,14,19,82,130,4.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,2r423,Hn,201010,372070,1964
142,1,1Aap,0,17,2.5,5,9,14,87,180,3.9,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,4r432,bEZ,204260,367380,1964
142,2,1Aa,33,47,1.1,6,9,15,87,175,4,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,4r432,bEZ,204260,367380,1964
142,4,1Cg,90,105,0.8,4,12,16,85,160,4.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,4r432,bEZ,204260,367380,1964
144,1,1Ah,0,7,8.4,5,44,49,52,180,3.2,-99,-99,-99,-99,-99,-99,-99,0.2,-99,BL,134-2,2,,,,,,39,m,5v434,Zb,210180,372175,1964
144,3,1Cy1,20,40,1.4,6,43,49,51,175,4.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,5v434,Zb,210180,372175,1964
144,4,1Cy2,58,75,0.6,5,48,53,47,160,4.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,5v434,Zb,210180,372175,1964
144,7,2Cu,135,145,0.2,3,22,24,76,200,4.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,5v434,Zb,210180,372175,1964
151,1,1Ap,1,12,0.8,8,10,18,84,205,4.3,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,2i433,Y,192625,350275,1967
151,2,1Bws,33,48,0,8,11,19,82,200,4.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,2i433,Y,192625,350275,1967
151,3,1BCy,54,65,0,10,3,13,88,210,4.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,2i433,Y,192625,350275,1967
151,4,1Cy,67,81,0,9,6,15,86,205,4.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,2i433,Y,192625,350275,1967
151,5,1Bhgc,84,101,0,12,5,17,83,205,4.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,2i433,Y,192625,350275,1967
162,1,1Ap,0,20,2.2,7,24,31,69,115,5.3,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,4k423,pZg,185600,355290,1966
162,2,1Cg1,30,40,0.1,6,22,28,72,115,5.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,4k423,pZg,185600,355290,1966
162,3,1Cg2,45,55,0.1,7,9,16,84,115,5.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,4k423,pZg,185600,355290,1966
162,4,1Cg3,60,70,0,10,8,18,83,120,4.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,4k423,pZg,185600,355290,1966
162,5,1Cg4,90,100,0,11,8,19,81,120,4.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,4k423,pZg,185600,355290,1966
181,1,1Ah,0,10,2,5,7,12,88,130,3.6,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,5v422,Zb,194780,363200,1965
181,2,1Bws,20,30,0.4,5,5,10,91,135,4.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,5v422,Zb,194780,363200,1965
