Profile_id,X,Y,Year,Land cover
1478,91510,428500,1960,Akkerbouw
1479,99530,426440,1960,Grasland
1483,93500,428640,1969,Akkerbouw
1485,97960,436300,1969,Grasland
1493,99175,446670,1969,Akkerbouw
1494,92750,444820,1969,Grasland
1500,85775,430220,1966,Grasland
1506,84625,449560,1987,Grasland
1516,90400,442080,1967,Grasland
1520,82880,441080,1966,Grasland
1526,86730,440940,1969,Grasland
1527,85600,441380,1969,Grasland
1545,144300,439990,1964,Fruitteelt
1546,149150,439775,1965,Akkerbouw
1562,147510,449820,1959,Grasland
1576,135120,432850,1976,Akkerbouw
1582,132570,436150,1974,Grasland
1584,130730,436160,1974,Grasland
1603,135700,427050,1975,Akkerbouw
1612,120570,432910,1972,Grasland
1614,126390,436990,1975,Grasland
1615,123980,434950,1975,Grasland
1619,138770,443600,1958,Grasland
1630,133890,441360,1976,Grasland
1632,139340,447150,1976,Grasland
1639,112330,433460,1990,Grasland
1640,126550,444550,1959,Grasland
1641,129800,447420,1959,Fruitteelt
1647,112100,425270,1974,Grasland
1652,186240,432180,1968,Grasland
1653,182900,433375,1968,Akkerbouw
1675,232315,464500,1967,Grasland
1689,238860,472690,1967,Akkerbouw
1714,211440,450500,1970,Akkerbouw
1721,206520,454300,1959,Bos
1732,202330,452260,1970,Bos
1739,211210,473660,1955,Bos
1756,204990,474780,1970,Akkerbouw
1762,204060,474720,1970,Grasland
1865,246860,474980,1969,Grasland
1877,231745,450475,1969,Grasland
1894,237025,457440,1963,Bos
1897,236665,450535,1964,Bos
2083,195475,459100,1971,Bos
2109,199250,468270,1971,Grasland
2233,172980,455300,1961,Bos
2248,161120,460800,1988,Heide en natuur
2478,230375,481260,1980,Grasland
2481,231820,493660,1980,Grasland
2513,225725,495900,1974,Grasland
2517,115900,472700,1983,Bos
2519,103360,450880,1963,Grasland
2522,107575,460870,1964,Grasland
2523,102050,462080,1965,Grasland
2524,99110,456220,1966,Akkerbouw
2526,93540,459010,1967,Grasland
2531,97050,462050,1976,Grasland
2535,105675,471735,1963,Akkerbouw
2537,87960,458900,1974,Grasland
2539,88550,454200,1974,Grasland
2548,98290,453930,1966,Akkerbouw
2551,264165,483410,1986,Akkerbouw
2553,89000,463280,1974,Grasland
2555,98900,467145,1959,Grasland
2557,99840,465400,1967,Grasland
2562,92310,469420,1974,Grasland
2626,251310,487290,1986,Grasland
2627,253575,481750,1987,Grasland
2628,252325,482300,1987,Grasland
2645,245850,484220,1986,Grasland
2646,248040,482850,1986,Grasland
2657,242930,493100,1986,Grasland
2686,215600,485600,1987,Bos
2744,152530,460810,1963,Bos
2752,160125,470920,1961,Grasland
2756,144820,453200,1992,Grasland
2783,149725,468070,1961,Grasland
2787,141960,454690,1959,Fruitteelt
2797,138420,458790,1965,Grasland
2799,132250,451075,1965,Grasland
2800,133305,455840,1965,Fruitteelt
2803,139450,456475,1965,Grasland
2804,131995,461985,1985,Grasland
2814,138560,473130,1965,Bos
2819,135750,465540,1985,Grasland
2826,132210,453870,1960,Fruitteelt
2839,124360,469290,1965,Grasland
2840,126405,466960,1965,Grasland
2841,136490,469460,1959,Grasland
2846,109150,452580,1983,Grasland
2848,118525,458000,1963,Grasland
2851,113060,455650,1963,Grasland
2860,107200,465950,1963,Akkerbouw
2863,106360,474825,1965,Fruitteelt
2944,192910,499540,1978,Grasland
2946,198525,498760,1978,Grasland
3001,122500,483400,1981,Bos
3005,171025,496180,1987,Akkerbouw
3010,111300,476075,1981,Tuimbouw
3011,110195,486675,1985,Akkerbouw
3012,110120,485000,1985,Akkerbouw
3016,112550,485455,1985,Akkerbouw
3023,106610,478055,1961,Akkerbouw
3028,101070,483320,1985,Bos
3029,101825,483850,1985,Bos
3030,101450,480150,1985,Grasland
3103,205400,476180,1960,Grasland
3108,202705,480020,1960,Grasland
3162,209455,487660,1963,Grasland
3168,202915,498380,1963,Grasland
3343,106690,509800,1989,Grasland
3345,109450,508000,1989,Grasland
3347,102760,510975,1989,Heide en natuur
3365,106895,504435,1986,Grasland
3370,109300,523675,1988,Grasland
3371,105275,515800,1989,Tuimbouw
3372,106500,520640,1989,Heide en natuur
3398,213000,505350,1989,Grasland
3399,211210,510515,1989,Grasland
3409,216610,518450,1989,Bos
3412,201650,507250,1989,Grasland
3413,201925,500575,1989,Grasland
3416,195080,504540,1982,Grasland
3424,213230,517800,1988,Grasland
3451,103410,494435,1985,Grasland
3452,108015,491060,1985,Grasland
3458,112240,494700,1985,Akkerbouw
3467,104040,497050,1983,Bos
3469,101980,493050,1983,Heide en natuur
3470,106870,496940,1984,Akkerbouw
3471,107895,499460,1984,Grasland
3478,92700,475450,1974,Tuimbouw
3481,96420,479800,1983,Heide en natuur
3484,251825,519375,1966,Heide en natuur
3489,255860,524850,1967,Akkerbouw
3491,240870,510400,1967,Grasland
3496,265500,518380,1966,Akkerbouw
3518,160600,506600,1983,Bos
3542,129070,501080,1968,Grasland
3545,127700,505450,1969,Grasland
3553,132550,502080,1969,Grasland
3571,260150,535380,1970,Akkerbouw
3577,250705,533425,1992,Akkerbouw
3578,254150,534625,1993,Akkerbouw
3610,242860,514669,1967,Grasland
3614,246275,522940,1967,Grasland
3656,204625,508075,1989,Grasland
3657,207190,502975,1989,Grasland
3663,140750,518450,1981,Grasland
3671,131510,522010,1961,Fruitteelt
3674,136150,521150,1968,Grasland
3681,135400,522260,1968,Grasland
3686,137230,517650,1976,Grasland
3688,125050,519800,1972,Grasland
3693,123660,522060,1981,Grasland
3701,116950,501325,1981,Grasland
3704,115520,511080,1988,Grasland
3705,112100,509670,1988,Grasland
3707,110175,508950,1989,Grasland
3710,113250,503670,1989,Grasland
3712,129260,518600,1956,Grasland
3760,264350,587750,1964,Akkerbouw
3763,122050,525550,1981,Grasland
3783,123455,538435,1986,Akkerbouw
3788,108750,536150,1988,Heide en natuur
3789,107790,536450,1988,Heide en natuur
3791,119950,529500,1981,Akkerbouw
3832,261325,559790,1977,Akkerbouw
3841,270315,565550,1972,Heide en natuur
3850,262945,556300,1972,Akkerbouw
3851,264450,558880,1972,Akkerbouw
3853,264440,553610,1972,Akkerbouw
3861,262680,573210,1972,Akkerbouw
3879,248950,546120,1982,Grasland
3895,236930,531475,1973,Heide en natuur
3909,230025,525900,1962,Grasland
3928,157050,542000,1963,Grasland
3932,166150,540280,1963,Akkerbouw
3934,164100,546550,1963,Grasland
3937,177560,548110,1963,Grasland
3939,171600,532450,1986,Akkerbouw
3949,133070,531900,1986,Akkerbouw
3977,256275,552900,1972,Akkerbouw
3978,253565,558750,1972,Akkerbouw
3989,241640,560390,1970,Grasland
4000,245910,571710,1977,Akkerbouw
4007,251340,569500,1972,Akkerbouw
4009,254340,564900,1972,Akkerbouw
4010,255830,567200,1972,Akkerbouw
4012,231380,556400,1984,Grasland
4014,234800,552400,1984,Grasland
4020,249560,570910,1972,Akkerbouw
4026,235825,525010,1973,Bos
4051,235590,539665,1971,Heide en natuur
4080,214710,531900,1980,Grasland
4096,205975,532625,1980,Grasland
4106,197475,534840,1981,Grasland
4113,209675,537800,1980,Grasland
4119,184630,537740,1981,Grasland
4120,180180,540260,1981,Grasland
4126,243870,528650,1962,Akkerbouw
4135,205200,594850,1977,Grasland
4136,208950,589880,1977,Grasland
4138,216175,598000,1977,Akkerbouw
4152,158600,479150,1993,Akkerbouw
4154,164800,493000,1994,Akkerbouw
4157,264700,473220,1996,Akkerbouw
4165,214580,487055,1997,Grasland
4176,184000,508000,1995,Bos
4182,96000,479000,1995,Bos
4183,99000,486000,1995,Bos
4185,195000,488000,1995,Bos
4187,183000,486000,1995,Bos
4189,187000,376000,1995,Bos
4197,252615,591650,1977,Grasland
4205,256000,593900,1983,Bos
4207,237460,579735,1966,Grasland
4208,235780,575600,1966,Grasland
4214,248275,594600,1977,Akkerbouw
4215,240155,588600,1977,Grasland
4216,242785,587800,1977,Grasland
4217,240125,592445,1977,Grasland
4222,238325,593950,1958,Grasland
4223,231450,591880,1957,Grasland
4225,237090,589000,1966,Grasland
4226,235200,597080,1967,Grasland
4229,220650,587325,1966,Akkerbouw
4230,224825,581250,1966,Grasland
4233,221910,578490,1959,Grasland
4234,226905,580915,1966,Grasland
4235,230740,583050,1966,Grasland
4236,234515,584910,1966,Grasland
4247,223700,598025,1966,Akkerbouw
4249,221310,593550,1967,Akkerbouw
4250,227210,589800,1966,Grasland
4259,217300,586850,1977,Grasland
4268,234650,564120,1985,Grasland
4279,231450,563838,1992,Akkerbouw
4286,233350,571990,1983,Grasland
4299,224450,574730,1985,Grasland
4304,216385,571620,1966,Grasland
4306,217400,568950,1966,Akkerbouw
4311,201140,551860,1966,Grasland
4316,214800,580650,1978,Grasland
4334,164350,583340,1961,Tuimbouw
4335,162740,576800,1961,Grasland
4336,168200,583500,1964,Akkerbouw
4347,178440,583150,1964,Grasland
4348,170900,578850,1970,Grasland
4349,176025,575740,1971,Grasland
4352,187300,590950,1974,Grasland
4357,198900,596900,1963,Akkerbouw
4361,197195,587720,1974,Grasland
4362,194970,589570,1974,Grasland
4366,182625,575930,1974,Grasland
